"","X","ptrans.ht","ptrans.hg","vinc","wane","ptrans.vh","hinc","hrec","feed","run","X","run","perc.vector","perc.host","num.tsetse","trans"
"187",187,0.00404855432465673,0.0011612167150015,0.0617322378455584,0.310680869332449,0.761030318067549,0.111916363337015,0.0691279488936882,0.412074042875747,187,187,187,0.821697221790008,45.5645103207154,4138.06751036696,-10000
"202",202,0.0127102036350593,5.68903524032794e-05,0.0538139164559465,0.291786953137231,0.492999451357871,0.179196452522185,0.024337034049506,0.341832903977212,202,202,202,0.843657622525687,68.9958518467181,4138.06751036695,-10000
"217",217,0.0139561947567202,0.00166840703016496,0.0452588875989662,0.486507200062918,0.234727678145329,0.106188872504296,0.0868567048663448,0.349948326608089,217,217,217,0.760471168527085,25.3186694728899,4138.06751036694,-10000
"227",227,0.00486625574097037,0.000605238386987476,0.0480440070845109,0.0643706482175947,0.645645754037425,0.100800699163477,0.0560877421738056,0.379149810874835,227,227,227,0.337579547229373,29.7776401865207,4138.06751036694,-10000
"232",232,0.000620294384136796,0.0027616986712208,0.0391900465652967,0.0941048364701588,0.568787840143172,0.119942133039112,0.065010427260785,0.346607281954726,232,232,232,1.04733390056122,36.5347198327551,4138.06751036694,-10000
"234",234,0.00680824002712965,0.00032792953973636,0.0562612955426021,0.787431312103406,0.76510256565176,0.189161872904437,0.0398127289775507,0.456530895639599,234,234,234,0.738152883338563,67.8744272799093,4138.06751036692,-10000
"238",238,0.0256796540600806,0.00198340620490955,0.0346036236900603,0.375416912978215,0.270406943546608,0.138693772971941,0.0923690341681902,0.353994890718837,238,238,238,1.45608881665045,32.9623599397883,4138.06751036693,-10000
"249",249,0.0336489185904898,3.70214375539217e-05,0.0443966622744609,0.0805371999117732,0.407367322133947,0.197700533949956,0.0510655509870402,0.371056703692651,249,249,249,1.39608374519896,44.3688845492241,4138.06751036694,-10000
"258",258,0.00594291927427053,0.00124210608209018,0.0599028521735997,0.512681214405936,0.429110357355932,0.0746871719065433,0.0208733806107542,0.443664041058936,258,258,258,1.54454304238243,70.3959552768717,4138.06751036694,-10000
"261",261,0.0306316684982553,0.000120902456723852,0.0592542002786028,0.328579578328661,0.542140575688565,0.0818850974566924,0.0817025248745709,0.497511013707534,261,261,261,1.17828885193929,38.4453385803435,4138.06751036694,-10000
