"","run","perc.vector","perc.host","num.tsetse","trans"
"58.13",364,4.82088921257219,65.5982005766762,3420.89635536861,-7000
"58.14",364,4.79424112400312,65.3194289806595,3237.74372978631,-6000
"58.15",364,4.75979572311033,64.9289787708915,3010.64837787147,-5000
"58.16",364,4.71507870506774,64.3652487437522,2731.09812516276,-4000
"58.17",364,4.65669939119328,63.5158298892959,2390.21497071425,-3000
"58.18",364,4.5799183570534,62.1527537358734,1979.79334377157,-2000
"58.19",364,4.47783245407883,59.7340917666067,1494.26600482254,-1000
"58.20",364,4.33845949618505,54.576580461646,934.189595824943,0
"58.21",364,4.09650661119691,37.438155233352,312.130039495922,1000
"58.22",364,3.72047488997653,18.9874443327795,104.692536531399,2000
"58.23",364,3.29090666925477,7.48195804381718,35.1644713359085,3000
"58.24",364,2.87416111221186,2.56953233051472,11.816910959774,4000
"58.25",364,2.49728635685503,0.829697855623392,3.97172541066073,5000
"59.10",365,5.29717473428899,79.7790583739216,3778.09038634456,-10000
"59.11",365,5.27606584814381,79.7440800512494,3684.96654728447,-9000
"59.12",365,5.25006386315454,79.6972891339978,3567.76276625504,-8000
"59.13",365,5.21824953865453,79.6338429437338,3420.89635536861,-7000
"59.14",365,5.17959696429872,79.5461996531417,3237.74372978631,-6000
"59.15",365,5.13299667524265,79.4220405918549,3010.64837787146,-5000
"59.16",365,5.07730021524728,79.2399638552893,2731.09812516276,-4000
"59.17",365,5.01139296296334,78.9595667791079,2390.21497071425,-3000
"59.18",365,4.93428598596305,78.4950031622187,1979.79334377157,-2000
"59.19",365,4.84508666678473,77.627312629689,1494.26600482254,-1000
"59.20",365,4.74145579209153,75.5846814247252,934.189595824942,0
"59.21",365,4.58568212692868,66.2934313400094,312.130039495922,1000
"59.22",365,4.30981022791723,48.0864972747957,104.692536531399,2000
"59.23",365,3.91374058328463,26.0055657278016,35.1644713359085,3000
"59.24",365,3.46420995270192,10.6958892841273,11.816910959774,4000
"59.25",365,3.0267426878859,3.74623823768909,3.97172541066073,5000
"60.10",366,5.29757827603945,73.4067622269266,3778.09038634456,-10000
"60.11",366,5.27823166433725,73.2816030009053,3684.96654728447,-9000
"60.12",366,5.25382643593154,73.1150880802036,3567.76276625504,-8000
"60.13",366,5.22309196623954,72.8909385630897,3420.8963553686,-7000
"60.14",366,5.18442251559392,72.584275826086,3237.74372978631,-6000
"60.15",366,5.13577942095542,72.1553708270113,3010.64837787146,-5000
"60.16",366,5.07455556244613,71.5370702412876,2731.09812516276,-4000
"60.17",366,4.99738163296402,70.6069112490439,2390.21497071425,-3000
"60.18",366,4.8998293369317,69.1164539908223,1979.79334377157,-2000
"60.19",366,4.7758209091562,66.4740151465408,1494.26600482254,-1000
"60.20",366,4.61495828470946,60.8343633575352,934.189595824942,0
"60.21",366,4.35129198709574,41.9693972774905,312.130039495922,1000
"60.22",366,3.94880431078056,21.4252733439159,104.692536531399,2000
"60.23",366,3.49201056380157,8.49356897204389,35.1644713359085,3000
"60.24",366,3.0496723511489,2.9356382482045,11.816910959774,4000
"60.25",366,2.649812013412,0.955351954072569,3.97172541066073,5000
"61.10",369,5.14349506897893,59.7541869426237,3778.09038634456,-10000
"61.11",369,5.11959182833199,59.7236566200449,3684.96654728448,-9000
"61.12",369,5.09019486477632,59.6829813003584,3567.76276625504,-8000
"61.13",369,5.05429987741244,59.6280912001154,3420.89635536861,-7000
"61.14",369,5.01080349446521,59.5526906713273,3237.74372978632,-6000
"61.15",369,4.95854156142259,59.4465634306483,3010.64837787147,-5000
"61.16",369,4.89635872914995,59.2920658725977,2731.09812516276,-4000
"61.17",369,4.82322181199491,59.0560595280663,2390.21497071425,-3000
"61.18",369,4.73837587538766,58.6684205659074,1979.79334377158,-2000
"61.19",369,4.64140974269857,57.950917780942,1494.26600482254,-1000
"61.20",369,4.53080512047631,56.2782456613208,934.189595824943,0
"61.21",369,4.36940457287437,48.8031485550557,312.130039495922,1000
"61.22",369,4.09053631673243,34.6348488062358,104.6925365314,2000
"61.23",369,3.70238230832917,18.2635127343659,35.1644713359085,3000
"61.24",369,3.27134758081846,7.40057960607215,11.816910959774,4000
"61.25",369,2.8562024360262,2.58624711773688,3.97172541066074,5000
"62.10",373,4.80621015327287,69.1905901541665,3778.09038634456,-10000
"62.11",373,4.77909639297796,69.0889385085717,3684.96654728447,-9000
"62.12",373,4.74550646886213,68.9538826892523,3567.76276625504,-8000
"62.13",373,4.70411785116037,68.7722985199529,3420.89635536861,-7000
