"","run","perc.vector","perc.host","num.tsetse","trans"
"62.19",480,0.565612848603188,19.1905592046046,1494.26600482254,-1000
"62.20",480,0.508750077655783,13.2360470760139,934.189595824942,0
"62.21",480,0.455131736979025,5.0499535232685,312.130039495922,1000
"62.22",480,0.399106319917804,1.70710778209199,104.692536531399,2000
"62.23",480,0.347283578032946,0.548623672856942,35.1644713359085,3000
"62.24",480,0.301331065658208,0.172366750214785,11.816910959774,4000
"62.25",480,0.261189438293678,0.0534504220791729,3.97172541066073,5000
"63.10",493,1.21354828877956,37.9050573028269,3778.09038634455,-10000
"63.11",493,1.20048180940923,37.6908746018366,3684.96654728447,-9000
"63.12",493,1.18428041916545,37.4092112171569,3567.76276625504,-8000
"63.13",493,1.1643048134347,37.0356118493301,3420.8963553686,-7000
"63.14",493,1.13982269813005,36.5341766719205,3237.74372978631,-6000
"63.15",493,1.11002262961371,35.8505119616881,3010.64837787146,-5000
"63.16",493,1.07405448791802,34.89887696118,2731.09812516276,-4000
"63.17",493,1.03112331570279,33.5369741722654,2390.21497071425,-3000
"63.18",493,0.980690552914668,31.5111686790237,1979.79334377157,-2000
"63.19",493,0.922879802876867,28.3187206907622,1494.26600482254,-1000
"63.20",493,0.859016918570472,22.7808162309203,934.189595824942,0
"63.21",493,0.78279794829326,11.2248963993713,312.130039495922,1000
"63.22",493,0.69278370263278,4.32115752543839,104.692536531399,2000
"63.23",493,0.605063215116086,1.46058755138361,35.1644713359084,3000
"63.24",493,0.525710737220763,0.466068753897337,11.816910959774,4000
"63.25",493,0.455886104264986,0.144696832901504,3.97172541066073,5000
"64.10",494,1.42293630903412,44.7263648924556,3778.09038634456,-10000
"64.11",494,1.40646121951179,44.3639093001833,3684.96654728447,-9000
"64.12",494,1.38596804253756,43.8900162064624,3567.76276625504,-8000
"64.13",494,1.36061383174724,43.2663546227394,3420.8963553686,-7000
"64.14",494,1.32942910507471,42.4381603234631,3237.74372978631,-6000
"64.15",494,1.29133945989174,41.3252810088982,3010.64837787147,-5000
"64.16",494,1.24522932685885,39.8068264161881,2731.09812516276,-4000
"64.17",494,1.19009081261535,37.6931179093506,2390.21497071425,-3000
"64.18",494,1.12534501621525,34.669424648823,1979.79334377157,-2000
"64.19",494,1.05150241142445,30.1672772599087,1494.26600482254,-1000
"64.20",494,0.971202223263768,23.0147091304427,934.189595824943,0
"64.21",494,0.879963501812308,10.2458222763111,312.130039495922,1000
"64.22",494,0.776397866623603,3.73382501204327,104.692536531399,2000
"64.23",494,0.677255406627105,1.23824373734583,35.1644713359085,3000
"64.24",494,0.588175048571177,0.394268996440006,11.816910959774,4000
"64.25",494,0.509978569618551,0.12300996713031,3.97172541066073,5000
"65.10",498,1.42779381735468,43.9018580857836,3778.09038634456,-10000
"65.11",498,1.41620748224795,43.6511842373691,3684.96654728447,-9000
"65.12",498,1.40163055760608,43.3207199385878,3567.76276625504,-8000
"65.13",498,1.38334976560793,42.8812702589558,3420.8963553686,-7000
"65.14",498,1.36049739541517,42.2899196784194,3237.74372978631,-6000
"65.15",498,1.33203514757152,41.4815936240374,3010.64837787146,-5000
"65.16",498,1.29675503677571,40.3537378215382,2731.09812516276,-4000
"65.17",498,1.25332577599644,38.7365007883969,2390.21497071425,-3000
"65.18",498,1.20045017918195,36.3287372079729,1979.79334377157,-2000
"65.19",498,1.13727048715103,32.539817796917,1494.26600482254,-1000
"65.20",498,1.06403045476481,26.010179718072,934.189595824942,0
"65.21",498,0.971689209357588,12.6372480090433,312.130039495922,1000
"65.22",498,0.86094618478654,4.82694897170284,104.692536531399,2000
"65.23",498,0.752303270479627,1.62610565304253,35.1644713359084,3000
"65.24",498,0.653761805718501,0.517905108272924,11.816910959774,4000
"65.25",498,0.566966341756144,0.160499056837266,3.97172541066073,5000
"66.10",500,0.712555056499181,15.6854071002174,3778.09038634456,-10000
"66.11",500,0.699160618130739,15.4402471524125,3684.96654728447,-9000
"66.12",500,0.68280692713064,15.1264992212978,3567.76276625504,-8000
"66.13",500,0.663014779253479,14.7244593905457,3420.89635536861,-7000
"66.14",500,0.63930039669129,14.2082069200312,3237.74372978631,-6000
"66.15",500,0.611229866744955,13.5435799337273,3010.64837787147,-5000
"66.16",500,0.578513116384059,12.6854700478769,2731.09812516276,-4000
"66.17",500,0.541160924523557,11.5739721352214,2390.21497071425,-3000
"66.18",500,0.499743145388679,10.1279063645636,1979.79334377157,-2000
"66.19",500,0.455804790863119,8.2310284177207,1494.26600482254,-1000
"66.20",500,0.412386973719795,5.69758760454258,934.189595824942,0
"66.21",500,0.369772848572088,2.18276530184791,312.130039495922,1000
"66.22",500,0.324618783091795,0.740433627625762,104.692536531399,2000
"66.23",500,0.282597339940603,0.2386914489279,35.1644713359085,3000
"66.24",500,0.245245297974101,0.0752097369737194,11.816910959774,4000
"66.25",500,0.212586665346401,0.0233870791676548,3.97172541066073,5000
"67.10",525,1.16802065799364,22.7548395011894,3778.09038634456,-10000
"67.11",525,1.15854732835731,22.690136752085,3684.96654728447,-9000
"67.12",525,1.14683476733447,22.604738631746,3567.76276625504,-8000
"67.13",525,1.13243701524055,22.4908550656628,3420.89635536861,-7000
"67.14",525,1.11484269575398,22.3367702283783,3237.74372978632,-6000
"67.15",525,1.09347903456713,22.1241205721122,3010.64837787147,-5000
"67.16",525,1.06772591332609,21.8225489075506,2731.09812516276,-4000
"67.17",525,1.03694841769371,21.3781928232689,2390.21497071425,-3000
"67.18",525,1.00056204204894,20.68559603371,1979.79334377157,-2000
"67.19",525,0.958135037350447,19.5058259323957,1494.26600482254,-1000
"67.20",525,0.909227850306988,17.152296672451,934.189595824944,0
"67.21",525,0.842941505610767,10.4821782100523,312.130039495922,1000
"67.22",525,0.754605366516951,4.74214016076339,104.6925365314,2000
"67.23",525,0.662572517501598,1.74512637222089,35.1644713359085,3000
"67.24",525,0.576904825104448,0.581567067904587,11.816910959774,4000
"67.25",525,0.500681292523597,0.185663916207338,3.97172541066073,5000
"68.10",528,1.29136211463145,41.386688502874,3778.09038634456,-10000
"68.11",528,1.26127368306311,40.5757264581987,3684.96654728448,-9000
"68.12",528,1.22492489982648,39.5479055261319,3567.76276625504,-8000
"68.13",528,1.18148084595746,38.2465995673011,3420.89635536861,-7000
"68.14",528,1.13019395994937,36.6006515586266,3237.74372978632,-6000
"68.15",528,1.07054777483392,34.521833734026,3010.64837787147,-5000
"68.16",528,1.0024776165046,31.9027827870256,2731.09812516276,-4000
"68.17",528,0.926697970170908,28.6154491680257,2390.21497071425,-3000
"68.18",528,0.845176076298812,24.5077261479013,1979.79334377157,-2000
"68.19",528,0.761795921035815,19.3885813069075,1494.26600482254,-1000
"68.20",528,0.683021742084178,12.9761522011851,934.189595824943,0
"68.21",528,0.610197744425513,4.7593949182193,312.130039495922,1000
"68.22",528,0.534799179830115,1.58169382460625,104.692536531399,2000
"68.23",528,0.465271410107029,0.504549634223155,35.1644713359085,3000
"68.24",528,0.403683599094874,0.157860325805821,11.816910959774,4000
"68.25",528,0.34990324890869,0.0487972049540451,3.97172541066073,5000
"69.10",533,0.884467009307234,74.95504162028,3778.09038634456,-10000
"69.11",533,0.877577690776074,74.6851971326887,3684.96654728447,-9000
"69.12",533,0.869011565336435,74.3292573905308,3567.76276625504,-8000
"69.13",533,0.858410170801833,73.8551287248131,3420.8963553686,-7000
"69.14",533,0.845350456858159,73.2148699008541,3237.74372978631,-6000
"69.15",533,0.829340971389773,72.3340322403531,3010.64837787146,-5000
"69.16",533,0.80982390177137,71.0911005614153,2731.09812516276,-4000
"69.17",533,0.786190646800708,69.2742262158385,2390.21497071425,-3000
"69.18",533,0.757827157447134,66.4787409527207,1979.79334377157,-2000
"69.19",533,0.724212335441527,61.8203723422443,1494.26600482254,-1000
"69.20",533,0.684910930646796,52.9036782767043,934.189595824943,0
"69.21",533,0.631990082516156,30.0530787501498,312.130039495922,1000
"69.22",533,0.563744866273373,12.8138879993703,104.692536531399,2000
"69.23",533,0.494137427261886,4.57492478051172,35.1644713359085,3000
"69.24",533,0.429951118051601,1.50591073941115,11.816910959774,4000
"69.25",533,0.373048855014676,0.478361152446248,3.97172541066073,5000
"70.10",550,0.448436539987845,29.3619586670211,3778.09038634456,-10000
"70.11",550,0.432120390917898,28.3809547891059,3684.96654728447,-9000
"70.12",550,0.412970317982806,27.1740287344138,3567.76276625504,-8000
"70.13",550,0.390839511270426,25.7009985220422,3420.8963553686,-7000
"70.14",550,0.365719290631925,23.9209438780573,3237.74372978631,-6000
"70.15",550,0.337813331932709,21.7974913289378,3010.64837787147,-5000
"70.16",550,0.307623589719163,19.3070554247005,2731.09812516276,-4000
"70.17",550,0.276038664948805,16.4489648608243,2390.21497071425,-3000
"70.18",550,0.244410767328777,13.2525750548087,1979.79334377157,-2000
"70.19",550,0.214606256547943,9.77043598517546,1494.26600482254,-1000
