"","X","ptrans.ht","ptrans.hg","vinc","wane","ptrans.vh","hinc","hrec","feed","run","X","run","perc.vector","perc.host","num.tsetse","trans"
"420",420,0.0291258469201997,0.00415434803864337,0.0397438798013143,0.0627774131314503,0.449221070411382,0.171455992668712,0.022229457667664,0.481341310826479,420,420,420,5.54658326406518,65.6057508684024,4138.06751036694,-10000
"432",432,0.0527534250048921,0.00263467544419109,0.0345945878645483,0.622617874526139,0.360884490923677,0.0901628249259666,0.0408415288494997,0.424068129549385,432,432,432,4.96867367363272,61.3040102423898,4138.06751036694,-10000
"438",438,0.0341988415631838,0.00419402357999352,0.065627427980847,0.250926431795594,0.538794904802321,0.147724869134836,0.0289896237122555,0.378928708495727,438,438,438,5.6076676833373,73.540055504175,4138.06751036694,-10000
"444",444,0.0421111042260751,0.00332252563155838,0.0564097686018484,0.667348279383734,0.714701292847609,0.173134460537011,0.0509375302534298,0.364814419076118,444,444,444,5.0336570078404,68.9702650402862,4138.06751036694,-10000
"447",447,0.0536446678828634,0.00455195468135993,0.0497976950013932,0.137105895310135,0.782547639147891,0.117010660786616,0.0402624362557253,0.394119975715022,447,447,447,5.91194285981935,59.0557718512111,4138.06751036695,-10000
"459",459,0.0772629947028868,4.87591699115001e-06,0.0423226023368925,0.891709962313683,0.437030722116772,0.0865678413180324,0.0331021803152747,0.441486305486256,459,459,459,4.84366901653158,67.0240475850536,4138.06751036695,-10000
"469",469,0.0445153335524164,0.00446750459758099,0.0605987916231311,0.172590499521631,0.771950728580868,0.173476423759138,0.0774600027854108,0.477775265140963,469,469,469,5.17066648062324,50.1662365988053,4138.06751036693,-10000
"485",485,0.0438466832581535,0.00484288783625816,0.0616523375109459,0.0875705905538075,0.343529365196079,0.118239758667133,0.0391402326140824,0.462457837837981,485,485,485,5.66147776801808,53.9772848676738,4138.06751036696,-10000
"491",491,0.0143781127526425,0.00469816240785294,0.0369153201130296,0.995696663045872,0.675714310319303,0.107234051293166,0.0426221848932386,0.499492755143942,491,491,491,5.37705833974649,66.4451594283825,4138.06751036693,-10000
"499",499,0.0356237890458666,0.00347545309282257,0.0437685385563644,0.476147496321546,0.72333890986857,0.153126702821503,0.0427365039608713,0.448197460726912,499,499,499,5.43219574078159,69.9023835267281,4138.06751036694,-10000
"504",504,0.0713323244935647,0.00196767425338388,0.0558456130878456,0.0583759098613099,0.71633515119697,0.150756105125416,0.0291554891854893,0.476012882962008,504,504,504,5.42033345296699,57.7974662094334,4138.06751036694,-10000
"507",507,0.0562199910742417,0.00244167868294404,0.0582944032085516,0.484229994686441,0.709604568751296,0.117758267881162,0.0371159169008723,0.43148138571973,507,507,507,5.70393089359161,69.2990041223213,4138.06751036694,-10000
"508",508,0.068657451943513,0.00145626220933162,0.0573505064096612,0.738415129567417,0.322108531799261,0.177701859768232,0.0555478227231283,0.450433017841191,508,508,508,5.5103698596158,66.4470783601237,4138.06751036693,-10000
"511",511,0.0694237509255484,0.00270483350165887,0.0477869242639436,0.297164514332437,0.570627186793229,0.101228986934045,0.0704929886895504,0.445112296323137,511,511,511,4.84252376037509,48.7005752921754,4138.06751036694,-10000
"515",515,0.0632586591332592,0.00434922653802903,0.0405233502694561,0.221134914577431,0.232974594205618,0.127013259791893,0.0795681724939922,0.444282334715167,515,515,515,5.08019437873388,44.4104325127075,4138.06751036694,-10000
"517",517,0.0749870059797354,0.000151254897089675,0.0624251831214254,0.934037182323411,0.509857648224477,0.131471265855276,0.0191697741964172,0.355646977774062,517,517,517,5.86924576608443,83.2669887324198,4138.06751036695,-10000
"521",521,0.00068433039907366,0.00493949029115378,0.0493855896953493,0.31473976813487,0.794594559505023,0.137420526904861,0.0350113016760986,0.478618040524035,521,521,521,4.85961929230044,70.6945829229824,4138.06751036694,-10000
"526",526,0.0588278174161725,0.00345467530678026,0.0351366195998387,0.416732886996975,0.792117109952914,0.183090061505605,0.0857790090979698,0.358283326385194,526,526,526,4.88163938053328,54.8202613994001,4138.06751036695,-10000
"531",531,0.0192004894143343,0.00424002012050361,0.0587377180948931,0.201981345205721,0.717603325068206,0.13848474749038,0.0440855529740084,0.480509211619074,531,531,531,4.80572602188561,62.594179062682,4138.06751036695,-10000
"536",536,0.0517643946974538,0.0032089024718327,0.040570660383782,0.959736047955062,0.657935129258223,0.0895923917485091,0.0490064824573211,0.445851955652547,536,536,536,5.32230448930406,59.6595936289593,4138.06751036695,-10000
"568",568,0.0365492562134564,0.00423592874890193,0.0356236990593451,0.446349629575592,0.48230945750908,0.104594059467502,0.0572352773020102,0.494624504330258,568,568,568,5.30544623769402,56.0982863845284,4138.06751036694,-10000
"573",573,0.0595854899001308,0.00472879520043614,0.0457452338263315,0.392618112706346,0.284490186742647,0.199475549632839,0.0906201769331567,0.335254324053919,573,573,573,4.95913649413498,50.116027627463,4138.06751036694,-10000
"577",577,0.0724645209147595,0.00386895861727768,0.0539357728983586,0.823597689901825,0.259350024167029,0.125070111964581,0.085183452180905,0.44881073449684,577,577,577,5.88323288859023,50.2727241775163,4138.06751036694,-10000
